name,cuisine,neighborhood,price,atmosphere,reservation,rating,open_for,tasting_menu_ind,note
Chapeau!,French,Inner Richmond,$$$,Cozy & romantic,Yes :: OT,8 / 10,D & BR,Yes ($65),This is a very solid French bistro.. especially for the price. Try to get there early and get their Early Bird special.
Chaya Brasserie,Contemporary Japanese,Embarcaderro,$$$$,Vibrant & touristic,Yes :: OT & S,7 / 10,"D, L & BR",N/A,"As one can expect, this place is overpriced.. but the food is actually pretty good too. What do I do?"
Chez Maman,French,Potrero Hill,$$,Cozy & comfortable,No,7 / 10,"D, L & BR",N/A,"Tight, but the food is great."
Chez Maman West,French,Hayes Valley,$$,Cozy & happening,No,7 / 10,"D, L & BR",N/A,"What a great addition to Hayes Valley, it's only going forward."
Chez Papa Bistrot,French,Potrero Hill,$$$,Cozy & comfortable,Yes :: OT,7 / 10,"D, L & BR",N/A,Great place. Love the location and the intimacy and comfort this place offers.
Chez Spencer,Contemporary French,SoMa,$$$$,Sophisticated & intimate,Yes :: OT,8.5 / 10,D,Yes ($70 + $110),"Great food, ambiance, service.. had a great time here. Their tasting menu has the same dishes as a La carte, so A la carte is the way to go."
Chiaroscuro,Contemporary Italian,Financial District,$$$$,Sohpiticated & romantic,Yes :: OT,8 / 10,D & L,N/A,"Great place : food, atmosphere, service were all excellent. It's a bit pricey, but the place is quite impressive. "
Chotto,Californian Izakaya,Marina,$$$,Sophisticated & Intimate,Yes :: OT,7 / 10,D,N/A,The chef recently left for Google. Food was good here.. but there's an identity issue at this place. It's worth a try.
Chouquet's,Contemporary French,Pacific Heights,$$$,Intimate & cozy,Yes :: OT & S,6.5 / 10,"D, L & BR",N/A,"Not bad.. but definitely nothing special. Service was good, and the discount was even better!"
Chow,Contemporary American,Castro,$$,Vibrant,Yes by Phone,7 / 10,"D, L & BR",N/A,Nothing bad and nothing spectacular. This is a very popular spot in the Castro. They are always stable and open for everyone.
Claudine,Contemporary French,Financial District,$$$,Intimate & charming,Yes :: OT,7.5 / 10,D & L,N/A,"A super cute place. The service and food were excellent. The prices were very reasonable as well.. so, go try it!"
Claudine,Contemporary French,Financial District,$$$,Cozy & intimate,Yes :: OT,8 / 10,D & L,N/A,"Awesome! Very cute and feel-good. The dishes were great, and thought they were reasonably priced as well. Great service!"
COCO500,Contemporary American,SoMa,$$$,Vibrant ,Yes :: OT,7 / 10,D & L,N/A,"My dinner experience was decent, not great, but i think it had more to do with my expectations than anything else. A solid spot"
Cocotte,French,Russian Hill,$$$,Intimate & sophisticated,Yes :: OT,7.5 / 10,D & BR,N/A,Much better name than 'Hyde Street Bistro'. We loved everything except for their rotisseries (chicken). 
Coi,Fine Dining,North Beach,$$$$$,Sophisticated & Intimate,Yes :: OT,8.5 / 10,D,Yes ($165 + $110),"It's a FIIIINE plae. the dishes were fantastic, and.. the service was super formal. One dish made me drop 2 points though."
Commonwealth,Californian-American,Mission,$$$,Intimate & vibrant,Yes :: OT,9 /10,D,Yes ($70+$35),"This place is AWESOME. For the price, the quality of dishes are unbelievable. "
Company Restaurant,Contemporary American,Mission,$$$,Intimate & cozy,Yes :: OT,7 / 10,D & L,N/A,"A relatively new place.. good atmosphere, service and great food. Try it before it gets too popular!"
Contigo,Californian-Spanish,Noe Valley,$$$,Intimate & cozy,Yes :: OT,8 /10,D,Yes ($40),A great tapas place.. it's a must-try. Get the tasting menu and conquer this place.
Coqueta,Californian-Peruvian,Embarcaderro,$$$$,Sophisticated & vibrant,Yes :: OT,9 / 10,D & L,N/A,"Michael's Chiarello's new place. it's ridiculously popular and impossible to get a reservation. With that being said, you must try this!!"
Cotogna,Contemporary Italian,North Beach,$$$,Sophisticated & Aerie,Yes :: OT,8 / 10,"D, L & BR",N/A,A great spot for small get-togethers. Great food and location. Their brunch is especially great.
Craftsman & Wolves,Pastries,Mission,$$,Sophisticated & SF-like,No,8 / 10,N/A,N/A,Some classic pastries and some other adventurous and inventive bakeries. Their chocolate cakes are awesome.
Delfina,Contemporary Italian,Mission,$$$,Sophisticated & cozy,Yes :: US,8 / 10,D,N/A,The simple spaghetti does it all for me.. it's that amazing. The second time was even better!
Deli Board,Sandwiches,SoMa,$$,Vibrant & hipster,No,8 / 10,L,N/A,"If you want a meaty sandwich, this is the place. Most sandwiches are about $13, but they are big enough to splt between two."
Destino,Contemporary Peruvian,Mission,$$$,Lounge-y & vibrant,Yes :: OT & S,6 / 10,D,N/A,"It's an okay place. Make sure to go here with Savored's deal, it's not quite worth the full price. Also, it's very crowded."
Dixie,Contemporary Southern,Presidio,$$$,Sophisticated,Yes :: OT,7.5 / 10,D & L,Yes ($72),"Can't say I am impressed.. it's decent, not outstanding. "
Dobbs Ferry SF,Contemporary American,Hayes Valley,$$$,Vibrant & bar-like,Yes :: OT,6 / 10,"D, L & BR",N/A,"It's a big place.. a safe place to try before or after the symphony concerts or operas. Good, but not great."
Dol Ho,Dim Sum,China Town,$,Homey & crazy,No,8 / 10,L & BR,N/A,"Super authentic crazy dim sum spot.. try to get the communal table, it's super fun to talk to them though you might not understand what they say whatsoever"
Domo,Contemporary Japanese,Hayes Valley,$$,Vibrant & Hip,No,7 / 10,D,N/A,"Great rolls if you like rolls.. it has a very few tables, so make sure to arrive early if you want to be sitted right away."
Dong Bei Mama,Chinese,Inner Richmond,$,Cozy & hole-in-the-wall,Yes by phone,8.5 / 10,D & L,N/A,YES! this is it!! my favorite Chinese place. Their menu's quite different from other Chinese places.. one must try their pig ear dish and beef pancakes. so good!
Dosa,Indian,Fillmore,$$$,Vibrant & crowded,Yes :: OT,7 / 10,"D, L & BR",N/A,"Worth a try.. i am not the biggest fan of this place. The lamb chop was great though.. it's very spicy, so be aware!"
E&O Asian Kitchen,Californian-Asian,Union Square,$$$$,Vibrant & sophisticated,Yes :: OT,7 / 10,"D, L & BR",N/A,Unusual menu for brunch and lunch which seemed appealing to me. The dishes were quite tasty. Beautiful decor.
El Mansour,Moroccan,Outer Richmond,$$$,Vibrant & traditional,Yes :: OT,8.5 / 10,D,N/A,This place is a total hidden gem. What a treat.. go here for the whole experience!
Elmira Roticceria,Italian Sandwiches,Tenderloin,$$,Charming,No,8 / 10,"L, BR & BF",N/A,They make a great tripe sandwich and pototoes cooked with pork fat! Also sandwiches are only $7.50 before tax.
FANG,Contemporary Chinese,SoMa,$$,Charming,Yes :: OT,7 / 10,"D, L & BR",N/A,"One of those Chinese places that are trying to be super hip and trendy.. It's nice inside, and the food isn't really that bad, but i couldn't help it, it was awkward."
Farmer Brown,American,Union Square,$$$,Cozy & vibrant,Yes :: OT,6 / 10,"D, L & BR",N/A,"Marginal.. apparently, their fried chicken is very good.. I would have to try that but for now, I will settle with 6."
Fifth Floor,Fine Dining,Union Square,$$$$,Intimate & sophisticated,Yes :: OT,8 / 10,D & L,Yes ($95 + $68),"The tasting menu was great.. but not amazing or consistant. Whatever you do there, get their dessert, it's fantastic."
Fiore d'Italia,Italian,North Beach,$$$,Touristy,Yes :: OT,8 / 10,D,N/A,"Not bad! I was surprised how great their pasti were despite how touristy this place is. It can get very crowded, so make sure to reserve a spot."
flour + water,Californian-Italian,SoMa,$$$$,Intimate & sophisticated,Yes :: OT,8 / 10,D,N/A,Don't think you can get a reservation. Do the same thing as Frances. The past tasting menu is recommended. Worth the wait.
Foreign Cinema,Contemporary American,Mission,$$$$,Intimate & sophisticated,Yes :: OT,8.5 / 10,D & BR,N/A,A must try place for both dinner and brunch. Just a great spot for all sort of gatherings.
Frances,Californian-American,Castro,$$$,Intimate & sophisticated,Yes :: OT,8.5 / 10,D,N/A,"Very popular place. Therefore, almost impossible to get a table. Make sure to be there either super early or late. Food is great."
Frascati,Contemporary Italian,Russian Hill,$$$,Intimate & sophisticated,Yes :: OT,8 / 10,D,N/A,"A great place for a romantic/intimate dinner. It's really cute, and the food was great. "
Fresca,Contemporary Peruvian,Multiple locations,$$$,Vibrant & casual,Yes :: OT,7.5 / 10,"D, L & BR",N/A,"It's okay! Nothing awful, nothing great. It gets very popular, so pick your time wisely."
Fringale,French,SoMa,$$$,Intimate & cozy,Yes :: OT,8.5/10,"D, L & BR",N/A,Yes.. this is what a French place should be more like. Wonderful everything.
Gajalee,Indian,Mission,$$,Cozy,Yes :: OT,7.5 / 10,D,N/A,This place is a good addition to the neighbothood. Solid food and service although you have to wait a little bit.
Gamine,French,Marina,$$,Home-y & cozy,No,7.5 / 10,D & L,N/A,A cozy French spot in Marina :) Open for lunch on just Fridays. Also owned by the same peeps as Chez series.
Garçon,Contemporary French,Mission,$$$,Intimate & sophisticated,Yes :: OT & S,7 / 10,D,N/A,A decent French place. The vibe is great.. good for romantic dinner.
Garibaldi's,Contemporary Italian,Laurel Heights,$$$$,Sophisticate & romantic,Yes :: OT & S,8 / 10,D & L,N/A,It's a pricey restaurant.. so make sure to grab a table through Savored for a 30% discount. The portions are huge and food is very good too.
Gialina,Pizzeria Italiano,Glen Park,$$$,Intimate & cozy,No,8 / 10,D,N/A,"Delicious pizzas. This place is quite popular, so try to be there early or late otherwise you will have to wait. Amatriciana & atomica pizzas are great."
Gilbirth's Rotisserie & Grill,Contemporary Latino,Dog Patch,$$$,Intimate & cozy,Yes :: OT,7 / 10,D,N/A,"Not the most consistant place, some dishes were very good (venison sliders & lamg burger), some were very disappointing (churros!)."
Gitane,Californian,Financial District,$$$$,Intimate & sophisticated,Yes :: OT,8 / 10,D,N/A,"My favorite place for the interior. It's stunning inside. The food isn't as amazing, but still great. "
Globe,Californian,Financial District,$$$,Intimate & cozy,Yes :: OT,7.5 / 10,"D, L & BR",N/A,"Nice place.. easy to miss. Their Sunday farmer's market course dinner menu's a great deal. The dishes were great, but not amazing."
Good Luck Dim Sum,Dim Sum,Inner Richmond,$,Hole-in-the-wall,No,7.5 / 10,L,N/A,It's not the best but it's damn cheap and good enough for lunch. 6 bucks will feed 2 people. Apparently there sticky rice is very good.
Gott's Roadside,American,Embarcaderro,$$,Vibrant & touristic,No,7.5 / 10,"D, L & BR",N/A,Ahi Tuna burger and the sweet potato fries. That's it.
Gracias Madre,Vegetarian-Mexican,Mission,$$,Vibrant & hip,No,7.5 / 10,D,N/A,"Expect lots, lots and looots of beans. I thought the food was interesting and well-executed."
Green Chile Kitchen,Californian-Mexican,Western Addition,$$,Vibrant & loud,No,7.5 / 10,"D, L & BR",N/A,"Apparently, they have great breakfast burrito although i had a good experience with my dinner. "
Greens,Californian-Vegetarian,Marina,$$$$,Intimate & quaint,Yes :: OT,8 /10,D ,N/A,"Great place.. you will have a great time here. Don't go there for Saturday evenings, they only have prie fixe menu, but i don't think it's the best deal."
Grub,Contemporary American,Mission,$$$,Intimate & vibrant,No,7 / 10,D & BR,N/A,"It's an okay place.. nothing special, but nothing terrible either. It always seems to have tables, so that can be debatable. "
Gung Ho,Contemporary Asian,SoMa,$$,Vibrant & trendy,Yes :: SM,8 / 10,D & L,N/A,"The crew from Seoul Patch opend up a place on their own. Still stellar, this place is a must-try."
Halu,Izakaya,Inner Richmond,$$,Intimate & hole-in-the-wall,No,8 / 10,D,N/A,Delicious food.. it's really small and popular. Make sure to be there on time. Eri chan's Special's amazing.. so are their yakitoris!
Han Il Kwan,Korean,Outer Richmond,$$,Loud,No,8 / 10,D,N/A,"A very good Korean place. If the distance isn't the issue, this is a nicer korean place to go to."
Hapa Ramen,Japanese Ramen,Ferry Building (R&S),$$,Food Truck-licious,No,7.5 / 10,L,N/A,Just be a man and get the Big Daddy ramen.
Heartbaker,Pastries,Inner Richmond,$$,Hip & sophisticated,No,8.5 / 10,D & L,N/A,This is an excellent bakery which also serves dinner too.. and the most awesomest name too.
Heirloom Café,Californian-American,SoMa,$$$$,Intimate & sophisticated,Yes :: OT,8 / 10,D,N/A,Food here is fantastic.. definitely a hidden gem. 
Hillside Supperclub,Californian-American,Bernal Heights,$$$,Cozy & intimate,Yes :: US,8.5/10,D & BR,N/A,"SF needs more places like this. Service, price, food, atmosphere.. everything here is spectacular."
Hillstone,Contemporary American,Embarcaderro,$$$$,Upscale Diner,Yes :: US,8.5 / 10,"D, L & BR",N/A,"Pretty excellent French dips.. and other things. It's a bit pricey, but worth a shot."
Hog & Rocks,Contemporary American,Mission,$$,Vibrant & Bar-like,Yes :: OT,7.5 / 10,D & BR,N/A,"A very solid place with reasonable price tags. If you're nearby, just walk in.. it's very consistant."
Hog Island Oyster,Seafood (Contp. American),Embarcaderro,$$$,Touristic & vibrant,No,7.5 / 10,"D, L & BR",N/A,Some serious oyster business here.. their grilled cheese and chowders are also great.
Hot Sauce and Panko,Wings,Richmond,$$,Cozy,No,8.5 / 10,L & BR,N/A,The best place to get wings in SF. Has a variety of sauces you can try.
ICHI Sushi,Japanese,Bernal Heights,$$$,Cozy,No,9 / 10,D,Omakase,Omakase omakase omakase. Thank you for being in SF. MUAH!
Incanto,Contemporary Italian,Noe Valley,$$$$,Vibrant & sophisticated,Yes :: US,7.5 / 10,D,N/A,"Definitely good.. but not amazing. Apparently, chef Cosentino's known for his use of every part of a hog. Maybe I should try that."
Indigo,Contemporary American,Hayes Valley,$$$,Sophisticated,Yes :: OT,8 / 10,D,N/A,It exceeded my expections. They serve very solid dishes.. A good place to go before or after concerts on weekends.
Isa,Californian-Asian,Marina,$$$,Intimate & sophisticated,Yes :: OT,8 / 10,D,N/A,A nice place for tapas style pan-asian cuisine. Some of the dishes were really great.. some of them weren't. Just choose thoughtfully!
Izakaya Roku,Izakaya,Mission,$$,Intimate & cozy,Yes by phone,7 / 10,D,N/A,"It fell a little short.. not the most consistant place. Get their takoyaki and finger food dishes, those are great."
Izakaya Sozai,Contemporary Japanese,Inner Sunset,$$,Vibrant & hip,Yes by phone,8.5 / 10,D,N/A,"One of my regular spots.. the food, atmosphere, service and price are all amazing. Make sure to call ahead for a table."
Izakaya Yuzuki,Izakaya,Mission,$$$,Vibrant & quaint,Yes :: US,8 / 10,D,N/A,"An upscale izakaya place.. great food, very small portion."
Jannah,Mediterranean,Western Addition,$$,Cozy & intimate,Yes :: OT,6.5 / 10,D,N/A,So much freaking eggplant. No thanks.
Jardinière,Contemporary American,Hayes Valley,$$$$,Intimate & sophisticated,Yes :: OT,7.5 / 10,D,Yes ($110 + $60),Didn't have the best meal here.. I thought dishes were generally overpriced and not really inspired. Don't care to go back soon.
Jasmine Garden,Vietnamese,Castro,$,Cozy & hole-in-the-wall,Yes by phone,8 / 10,D & L,N/A,"Their lemongrass pho is amazing.. also the tiger prawn, and salmon in curry dishes are great, as well. My favorite vietnamese spot."
Jasper's Corner Tap & Kitchen,Gastropub - American,Union Square,$$$,Bar-like & crowded,Yes :: OT,7 / 10,"D, L & BR",N/A,Known for their burgers and.. drinks. Burgers are worth the try.
Keiko a Nob Hill,Californian-Japanese,Nob Hill,$$$$,Cozy & romantic,Yes :: OT,9.5 / 10,D,Only ($95+$85 or $120+$240),"Fantastic place.. this place is a must-try restaurant in SF.. highly, highly recommended."
Knead Pastries,Pastries,Mission,$$,Cozy $ cute,No,9 / 10,"D, L & BR",N/A,"One of best croissants I've ever had.. they bake a limited number of those, so be sure to be there early. "
Koh Samui & The Monkey,Thai,SoMa,$$,Intimate & vibrant,Yes :: OT & S,7 / 10,"D, L & BR",N/A,"It's an okay Thai place. Nothing special, but for some reason, it's very popular (among White people....)."
Kokkari Estiatorio,Contemporary Greek,Embarcaderro,$$$$,Vibrant & sophisticated,Yes :: OT,8 / 10,D,N/A,"A very solid place.. a little bit business-like and touristic, but the food is also very good here. Get the pig head and fish.. but no quail."
Koo,Izakaya,Inner Sunset,$$,Vibrant & homie,Yes by phone,7.5 / 10,D,N/A,"Definitely try their ""Spoonful of Happiness"". "
L'Ardoise,French,Castro,$$$$,Cozy & home-like,Yes :: OT,8.5 /10,D,N/A,Fantastic neighborhood French place.. It's almost hard to believe that this place is in the Castro.
La Ciccia,Sardinian,Noe Valley,$$$,Cozy & home-like,Yes :: OT,9 / 10,D ,N/A,Everything at this place is superb.. the baby octopus appetizer is to die for.. all the pasti are heavenly too.
